tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,63,0,0,0,3,0,0,21,0,0,0,0,2,0,2,0,1,0,0,0,12,0,0,1,2,2,0,0,0
200,61,0,0,0,3,0,0,21,0,0,0,0,2,0,3,0,0,0,0,0,10,0,0,1,2,2,0,0,0
300,58,0,0,0,3,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1,2,2,0,0,0
400,59,0,0,0,3,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,2,0,0,0
500,62,0,0,0,3,0,0,21,4,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,2,0,0,0
600,56,0,0,0,3,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,2,0,0,0
700,54,0,0,0,3,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
800,56,0,0,0,3,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
900,55,0,0,0,3,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1000,55,0,0,0,2,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1100,54,0,0,0,2,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1200,53,0,0,0,2,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1300,53,0,0,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1400,53,0,0,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,2,1,0,0,0
1500,52,0,0,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1,2,1,0,0,0
1600,51,0,0,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0
1700,54,0,0,0,1,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,2,1,0,0,0
1800,53,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,2,1,0,0,0
1900,55,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,2,1,0,0,0
