tick,entity_total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf,stat_total,stat_Arctic Fox,stat_Bear,stat_Boar,stat_Camel,stat_Crocodile,stat_Deer,stat_Elk,stat_Faeling,stat_Fish,stat_Fox,stat_Frog,stat_Hawk,stat_Jaguar,stat_Lizard,stat_Monkey,stat_Musk Ox,stat_Parrot,stat_Penguin,stat_Polar Bear,stat_Rabbit,stat_Scorpion,stat_Sectid,stat_Shark,stat_Shroomer,stat_Snake,stat_Tapir,stat_Turtle,stat_Wolf
100,61,0,0,0,2,0,10,9,0,0,0,4,0,0,2,0,8,10,0,0,9,0,0,0,7,0,0,0,0,783,12,6,11,28,8,71,44,0,66,18,45,11,6,49,29,37,9,19,5,46,11,36,7,102,10,43,38,16
200,64,0,0,0,2,0,11,9,0,0,0,6,0,0,2,0,9,9,0,0,9,0,0,0,7,0,0,0,0,761,12,6,11,28,8,71,42,0,67,18,36,11,6,42,28,37,10,18,5,42,11,36,7,102,10,43,38,16
300,65,0,0,0,3,0,11,8,0,0,0,6,0,0,2,0,9,8,0,0,9,0,0,0,9,0,0,0,0,762,12,6,11,33,8,73,50,0,70,21,30,11,6,32,28,40,8,16,5,37,11,38,7,102,10,43,38,16
400,61,0,0,0,3,0,10,7,0,0,0,6,0,0,2,0,9,7,0,0,9,0,0,0,8,0,0,0,0,768,12,6,10,34,8,83,66,0,76,21,20,11,6,28,25,40,8,13,5,28,11,43,7,101,10,43,37,16
500,67,0,0,0,3,0,11,7,4,0,0,6,0,0,2,0,10,7,0,0,9,0,0,0,8,0,0,0,0,767,12,6,9,37,8,85,69,0,79,21,13,11,6,22,25,45,7,12,5,25,11,47,7,101,10,43,35,16
600,61,0,0,0,3,0,12,7,0,0,0,6,0,0,2,0,10,5,0,0,9,0,0,0,7,0,0,0,0,781,12,6,9,37,8,91,85,4,88,24,11,11,6,15,20,45,7,10,5,20,11,46,7,100,10,42,35,16
700,61,0,0,0,3,0,12,7,0,0,0,8,0,0,2,0,10,4,0,0,9,0,0,0,6,0,0,0,0,772,12,7,8,38,8,91,84,4,101,24,10,11,6,13,12,46,8,4,5,11,11,51,7,99,10,41,34,16
800,60,0,0,0,3,0,12,7,0,0,0,8,0,0,2,0,10,4,0,0,9,0,0,0,5,0,0,0,0,775,12,6,7,38,8,90,89,4,109,24,9,11,6,11,11,50,8,2,5,9,11,52,7,99,10,37,34,16
900,62,0,0,0,3,0,12,9,0,0,0,8,0,0,2,0,10,4,0,0,9,0,0,0,5,0,0,0,0,770,12,5,6,40,8,82,91,4,121,24,9,11,6,10,10,47,8,2,5,6,11,55,7,97,10,33,34,16
1000,64,0,0,0,3,0,12,9,0,0,0,8,0,0,2,0,12,4,0,0,9,0,0,0,5,0,0,0,0,796,12,5,4,47,8,83,103,4,143,23,6,9,6,9,6,50,10,2,4,6,9,55,6,96,9,31,33,17
1100,64,0,0,0,3,0,13,10,0,0,0,8,0,0,2,0,12,2,0,0,9,0,0,0,5,0,0,0,0,825,12,3,4,48,7,83,118,4,163,23,6,9,5,10,6,48,10,2,4,5,6,59,6,95,9,33,32,15
1200,66,0,0,0,4,0,12,10,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,843,10,3,4,51,6,86,129,4,187,21,6,7,5,10,5,49,10,2,4,5,5,52,4,93,9,31,32,13
1300,64,0,0,0,4,0,10,10,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,890,10,1,4,52,6,94,134,4,224,21,5,7,3,9,3,55,11,2,3,5,4,50,4,95,9,30,32,13
1400,61,0,0,0,4,0,7,10,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,927,9,1,4,55,6,94,138,4,260,20,5,7,3,9,2,53,12,2,3,4,3,51,4,94,8,31,34,11
1500,61,0,0,0,4,0,7,10,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,965,9,1,4,59,6,92,153,4,289,18,6,6,2,9,2,53,11,3,3,4,3,50,4,93,8,28,34,11
1600,61,0,0,0,4,0,7,10,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,1045,9,1,4,65,5,92,178,4,338,22,4,7,2,10,2,53,10,2,3,4,3,50,4,90,7,28,34,14
1700,62,0,0,0,5,0,8,9,0,0,0,8,0,0,2,0,12,2,0,0,11,0,0,0,5,0,0,0,0,1126,10,1,4,76,5,100,196,4,386,22,4,7,2,11,2,52,8,2,3,4,3,43,4,93,8,28,34,14
1800,62,0,0,0,5,0,7,9,0,0,0,8,0,0,2,0,12,3,0,0,11,0,0,0,5,0,0,0,0,1214,9,1,4,92,5,109,203,4,439,21,4,7,2,11,2,53,9,2,3,4,3,45,4,92,8,28,34,16
1900,59,0,0,0,5,0,6,6,0,0,0,8,0,0,2,0,13,3,0,0,11,0,0,0,5,0,0,0,0,1290,10,1,4,105,5,105,209,4,491,22,4,7,2,11,2,58,9,2,3,4,3,46,4,90,8,28,35,18
2000,57,0,0,0,5,0,6,4,0,0,0,8,0,0,2,0,13,3,0,0,11,0,0,0,5,0,0,0,0,1378,9,1,4,113,5,104,225,4,549,23,4,7,2,11,2,62,7,2,3,3,3,48,4,90,8,28,35,22
2100,55,0,0,0,6,0,6,3,0,0,0,8,0,0,2,0,13,2,0,0,11,0,0,0,4,0,0,0,0,1487,9,1,4,124,5,101,241,4,623,27,4,8,2,11,3,67,8,2,3,3,3,46,4,91,7,30,34,22
2200,56,0,0,0,6,0,7,3,0,0,0,8,0,0,2,0,13,2,0,0,11,0,0,0,4,0,0,0,0,1642,10,1,4,138,5,102,267,4,724,32,4,8,2,12,3,72,8,2,3,2,3,44,4,92,8,28,35,25
2300,55,0,0,0,6,0,7,3,0,0,0,8,0,0,2,0,13,2,0,0,11,0,0,0,3,0,0,0,0,1774,10,1,4,142,5,105,284,4,807,36,4,8,2,11,3,80,8,2,3,2,3,52,4,93,8,28,37,28
2400,54,0,0,0,6,0,6,3,0,0,0,8,0,0,2,0,13,2,0,0,11,0,0,0,3,0,0,0,0,1877,11,1,4,149,6,111,299,4,868,41,4,8,2,10,2,88,9,2,3,2,3,53,4,93,8,27,37,28
2500,53,0,0,0,6,0,6,2,0,0,0,8,0,0,2,0,13,2,0,0,11,0,0,0,3,0,0,0,0,2009,12,1,5,170,6,115,340,4,908,44,4,9,2,10,2,87,9,2,3,2,3,59,4,93,9,28,37,41
