tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,128,1,0,0,6,1,0,0,0,3,1,11,0,0,0,4,3,0,0,0,0,1,30,0,55,0,0,3,0
200,131,1,0,0,7,1,0,0,0,2,1,11,0,0,0,4,3,0,0,0,0,1,30,0,58,0,0,3,0
300,134,1,0,0,7,1,0,0,0,2,1,11,0,0,0,4,3,0,0,0,0,1,30,0,61,0,0,3,0
400,133,0,0,0,7,1,0,0,0,1,1,11,0,0,0,4,3,0,0,0,0,1,30,0,62,0,0,3,0
500,153,1,0,0,7,1,0,0,2,1,1,11,0,0,0,4,9,0,5,0,0,1,30,0,65,0,0,5,1
600,152,1,0,0,7,1,0,0,2,1,1,11,0,0,0,4,10,0,5,0,0,1,25,0,68,0,0,5,1
700,153,1,0,0,7,1,0,0,2,1,1,10,0,0,0,4,11,0,5,0,0,1,25,0,68,0,0,5,2
800,162,1,0,0,8,1,0,0,2,1,1,10,0,0,0,5,12,0,5,0,0,1,25,0,75,0,0,5,1
900,170,1,0,0,8,1,0,0,2,1,1,14,0,0,0,5,12,0,5,0,0,1,25,0,79,0,0,5,1
1000,172,1,0,0,8,1,0,0,2,1,1,14,0,0,0,5,13,0,5,0,0,1,25,0,80,0,0,5,1
1100,175,1,0,0,8,1,0,0,2,1,1,14,0,0,0,5,13,0,7,0,0,1,25,0,81,0,0,5,1
1200,177,1,0,0,8,1,0,0,2,1,1,13,0,0,0,6,13,0,7,0,0,1,25,0,83,0,0,5,1
1300,181,1,0,0,8,1,0,0,2,1,1,13,0,0,0,7,13,0,6,0,0,1,25,0,87,0,0,5,1
1400,177,1,0,0,8,1,0,0,2,1,1,13,0,0,0,8,13,0,5,0,0,1,20,0,88,0,0,5,1
1500,178,1,0,0,8,1,0,0,2,1,1,13,0,0,0,8,13,0,5,0,0,1,20,0,89,0,0,5,1
1600,176,1,0,0,8,1,0,0,2,1,1,13,0,0,0,8,13,0,5,0,0,1,20,0,87,0,0,5,1
1700,178,1,0,0,8,1,0,0,2,1,1,13,0,0,0,8,13,0,4,0,0,1,19,0,91,0,0,5,1
1800,175,1,0,0,8,1,0,0,2,1,1,13,0,0,0,8,13,0,5,0,0,1,14,0,93,0,0,4,1
1900,175,0,0,0,9,1,0,0,2,1,1,13,0,0,0,10,13,0,4,0,0,1,13,0,94,0,0,3,1
2000,177,0,0,0,9,1,0,0,2,1,1,13,0,0,0,11,13,0,5,0,0,1,13,0,94,0,0,3,1
2100,180,0,0,0,9,1,0,0,2,1,1,13,0,0,0,12,13,0,5,0,0,1,13,0,96,0,0,3,1
2200,179,0,0,0,9,1,0,0,2,1,1,13,0,0,0,12,13,0,4,0,0,1,11,0,97,0,0,3,2
2300,179,0,0,0,9,1,0,0,2,1,1,13,0,0,0,12,13,0,4,0,0,1,11,0,97,0,0,3,2
2400,179,0,0,0,9,1,0,0,2,1,1,12,0,0,0,13,13,0,5,0,0,1,8,0,99,0,0,3,2
2500,177,0,0,0,9,0,0,0,1,1,1,12,0,0,0,13,13,0,5,0,0,1,8,0,99,0,0,3,2
2600,176,0,0,0,9,0,0,0,1,1,1,13,0,0,0,13,13,0,6,0,0,1,4,0,100,0,0,3,2
2700,180,0,0,0,9,0,0,0,1,1,1,13,0,0,0,13,13,0,6,0,0,1,4,0,104,0,0,3,2
2800,185,0,0,0,9,0,0,0,1,1,1,13,0,0,0,13,14,0,6,0,0,1,4,0,109,0,0,2,2
2900,183,0,0,0,9,0,0,0,1,1,1,12,0,0,0,13,14,0,6,0,0,1,4,0,108,0,0,2,2
3000,187,0,0,0,9,0,0,0,2,1,1,11,0,0,0,18,14,0,7,0,0,1,2,0,108,0,0,2,2
3100,190,0,0,0,10,0,0,0,2,1,1,11,0,0,0,18,14,0,7,0,0,1,2,0,110,0,0,2,2
3200,191,0,0,0,11,0,0,0,1,1,1,11,0,0,0,18,14,0,8,0,0,1,2,0,110,0,0,2,2
3300,196,0,0,0,11,0,0,0,1,1,1,12,0,0,0,18,14,0,9,0,0,1,1,0,113,0,0,2,3
3400,189,0,0,0,11,0,0,0,1,1,1,8,0,0,0,18,14,0,9,0,0,1,0,0,111,0,0,2,3
3500,187,0,0,0,11,0,0,0,1,1,1,8,0,0,0,18,14,0,10,0,0,1,0,0,109,0,0,2,2
3600,185,0,0,0,11,0,0,0,1,1,1,8,0,0,0,18,13,0,11,0,0,1,0,0,107,0,0,2,2
3700,189,0,0,0,11,0,0,0,2,1,1,8,0,0,0,18,13,0,11,0,0,1,0,0,110,0,0,2,2
3800,194,0,0,0,11,0,0,0,2,1,1,8,0,0,0,18,13,0,12,0,0,1,0,0,114,0,0,2,2
3900,196,0,0,0,11,0,0,0,2,1,0,8,0,0,0,18,13,0,14,0,0,1,0,0,115,0,0,2,2
