tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,1695,22,8,34,55,13,158,124,0,123,33,81,20,11,83,80,85,52,72,10,144,15,120,11,162,17,76,46,40
200,1713,22,8,38,55,13,159,126,0,125,33,81,21,11,83,81,85,54,72,10,146,15,120,11,164,17,76,47,40
300,1734,24,8,40,57,13,160,127,0,123,33,81,21,11,85,83,89,56,72,10,146,15,120,11,168,18,76,47,40
400,1749,24,8,40,57,13,161,128,0,122,33,81,21,11,89,85,92,56,73,10,146,15,120,11,171,18,77,47,40
500,1770,24,8,40,58,13,163,130,6,122,33,81,21,11,95,86,92,56,75,10,146,16,120,11,171,18,77,47,40
600,1795,24,8,40,58,13,167,131,6,119,33,80,21,11,105,89,95,58,76,10,146,16,120,11,174,18,78,48,40
700,1853,24,8,40,59,13,169,133,6,139,33,79,21,11,115,90,96,62,78,10,146,16,120,11,187,18,81,48,40
800,1864,24,8,40,59,13,170,135,6,137,33,79,21,11,117,93,97,62,78,10,146,16,120,11,191,18,81,48,40
900,1881,24,8,40,59,13,171,137,6,135,33,79,21,11,121,94,98,64,79,10,146,16,120,11,197,18,82,48,40
1000,1904,24,8,40,59,13,174,140,6,149,33,79,21,11,121,95,98,64,79,10,146,16,120,11,198,18,83,48,40
1100,1929,24,8,40,59,13,176,141,6,148,33,79,21,11,123,97,100,68,82,10,148,16,120,11,205,18,84,48,40
1200,1946,24,8,40,61,13,179,142,6,147,33,79,21,11,123,98,101,69,82,10,151,16,120,11,211,18,84,48,40
1300,1988,24,8,40,61,13,181,145,6,178,33,78,21,11,127,100,103,69,81,10,151,16,120,11,209,18,86,48,40
1400,2015,24,8,40,62,13,182,148,6,192,33,76,21,11,127,101,104,70,83,10,149,16,120,11,213,18,88,49,40
1500,2015,24,8,40,62,13,183,149,6,192,33,71,21,11,128,101,106,70,84,10,143,16,120,11,217,18,88,50,40
1600,2013,24,8,40,62,13,184,151,6,189,33,64,22,11,130,102,106,70,85,10,136,16,120,11,222,18,90,50,40
1700,2015,24,8,40,64,14,189,152,6,189,33,56,21,11,136,102,108,71,87,10,127,16,120,11,221,18,91,50,40
1800,2028,24,8,40,64,14,191,154,6,187,33,60,21,11,136,102,108,72,89,10,120,16,119,11,231,18,93,50,40
1900,2039,24,8,42,64,14,197,158,6,183,33,57,21,11,139,104,108,73,89,10,114,16,114,11,239,18,96,50,40
2000,2018,24,8,42,64,14,197,158,6,171,33,52,18,11,140,105,109,74,89,10,112,16,109,11,239,18,97,51,40
2100,2017,24,8,42,65,14,199,158,6,171,33,51,17,11,143,105,110,75,89,10,106,16,100,11,244,18,100,51,40
2200,2019,24,8,42,65,14,199,161,6,170,33,50,16,11,137,107,110,76,92,10,105,16,94,11,250,18,103,51,40
2300,2049,24,8,44,66,14,201,163,6,188,33,45,14,11,139,110,112,75,93,10,105,16,88,11,261,18,103,51,40
2400,2053,24,8,44,66,14,203,164,6,194,33,45,11,11,141,111,113,76,96,10,101,16,80,11,262,18,103,52,40
2500,2061,23,8,44,67,14,204,164,6,190,33,44,10,11,142,114,113,75,97,10,101,16,77,11,272,18,104,53,40
2600,2058,23,8,52,69,14,206,167,6,183,33,42,9,11,140,114,119,75,100,10,97,16,64,11,274,18,104,53,40
2700,2046,20,8,52,69,14,207,168,6,173,33,41,8,11,143,114,121,74,99,10,94,16,57,11,281,18,106,53,39
2800,2062,20,8,54,69,14,209,171,6,171,33,42,10,11,143,115,122,79,102,10,94,16,51,11,283,18,108,53,39
2900,2052,17,8,54,69,14,208,174,6,168,33,43,9,11,141,115,123,80,101,10,91,16,44,11,287,18,109,53,39
3000,2084,17,8,54,69,14,210,175,6,191,33,46,8,11,144,116,123,80,103,10,92,16,39,11,290,18,108,53,39
3100,2096,17,8,54,69,14,209,185,5,188,33,54,8,11,142,116,124,85,104,10,91,16,31,11,291,18,110,53,39
3200,2099,14,8,53,69,14,211,185,5,187,31,52,7,11,153,115,125,86,105,10,95,16,27,11,291,18,110,53,37
3300,2097,13,8,52,69,14,213,188,5,183,28,51,5,11,155,114,125,88,104,10,96,16,24,11,297,18,110,55,34
3400,2101,12,8,51,69,14,218,191,4,181,28,56,5,11,155,116,126,88,104,10,95,16,18,11,296,18,112,55,33
3500,2119,11,8,51,70,14,217,195,4,179,28,55,5,11,161,120,130,91,102,10,93,16,16,11,303,18,114,55,31
3600,2115,9,8,51,73,14,218,196,5,179,26,55,5,11,161,119,131,93,99,10,92,16,10,11,309,18,114,55,27
3700,2140,9,8,49,74,14,217,198,4,200,24,56,5,11,167,119,131,94,98,10,90,16,9,11,312,18,114,56,26
3800,2153,8,8,49,75,14,219,201,4,198,23,56,5,11,168,118,131,100,97,10,90,16,6,11,322,18,115,56,24
