tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,574,6,2,11,18,4,59,44,0,41,9,23,6,3,33,31,31,18,25,2,48,4,28,3,57,4,25,18,12
200,580,6,2,11,17,4,62,45,0,38,9,23,6,3,35,34,30,21,25,2,46,4,27,3,59,4,25,18,12
300,588,6,2,11,17,4,64,45,0,34,9,23,6,3,41,33,31,23,25,2,49,4,26,3,59,4,25,18,12
400,596,6,2,13,17,4,65,43,0,36,9,23,6,3,43,34,31,23,25,2,50,4,24,3,58,4,28,18,13
500,604,6,2,15,17,4,66,43,2,33,9,23,6,3,45,35,32,23,25,2,52,4,24,3,56,4,29,19,13
600,611,6,2,15,16,4,73,42,2,29,9,27,6,3,45,36,32,24,26,2,51,4,24,3,56,4,29,19,13
700,624,6,2,15,16,4,73,42,2,41,9,27,7,3,45,39,32,26,26,2,50,4,21,3,56,4,28,19,13
800,638,6,2,15,16,4,77,43,2,45,9,30,7,3,45,42,33,26,26,2,48,4,18,3,56,4,29,21,13
900,657,6,2,17,15,4,78,46,2,45,9,30,7,3,58,41,35,26,27,2,47,4,15,3,56,4,32,21,13
1000,656,6,2,17,14,4,78,48,2,45,9,30,7,3,57,40,36,27,28,2,47,4,14,3,54,4,32,21,13
1100,663,6,2,17,13,4,81,50,2,45,9,29,7,4,60,39,36,28,29,2,46,4,14,3,55,4,32,20,13
1200,673,6,2,17,13,4,83,52,2,45,9,28,7,4,62,39,38,28,30,2,46,4,14,3,56,4,33,19,14
1300,686,6,2,17,13,4,86,53,2,44,9,28,7,4,66,40,38,33,30,2,46,4,14,3,55,4,33,19,15
1400,693,6,2,19,13,4,87,53,2,44,9,30,7,4,68,40,38,34,31,2,46,4,14,3,53,4,34,19,14
1500,689,6,2,19,13,4,87,55,2,44,9,29,7,4,67,40,38,35,32,2,43,4,13,2,51,4,35,19,14
1600,691,6,2,19,11,4,87,58,2,45,9,29,7,4,66,40,40,35,35,2,42,4,13,2,48,4,35,19,14
1700,692,6,2,19,13,4,89,59,2,41,9,29,7,4,65,44,39,35,34,2,43,4,12,2,46,4,35,19,15
1800,695,6,2,21,12,4,88,60,2,41,9,26,7,4,65,42,40,35,35,2,45,4,12,2,47,4,37,19,15
1900,695,6,2,23,12,4,88,62,2,39,9,25,7,4,65,41,40,37,35,2,43,4,10,2,49,4,37,19,15
2000,707,6,2,23,12,4,89,62,2,41,9,32,7,4,64,43,41,38,35,2,42,4,10,2,48,4,36,20,16
2100,721,6,2,22,11,4,94,63,2,40,9,31,7,4,72,45,41,40,37,2,41,4,10,2,44,4,38,20,17
2200,724,6,2,22,11,4,93,65,2,39,9,30,8,5,71,45,41,40,38,2,39,4,10,2,46,4,39,20,18
2300,730,6,2,22,11,4,94,66,2,38,9,30,8,5,74,46,41,41,36,2,39,4,9,2,48,4,39,21,18
2400,740,6,2,24,11,4,98,69,2,38,9,28,8,5,74,46,41,43,37,2,39,4,8,2,47,4,41,21,18
2500,738,6,2,23,11,4,101,69,2,37,9,27,8,5,76,46,42,43,35,2,36,4,8,2,47,4,41,21,18
2600,744,6,2,26,11,4,101,70,2,37,9,25,8,5,75,49,44,43,35,2,35,4,8,2,47,4,41,22,18
2700,779,6,2,26,11,4,110,72,2,60,9,25,7,5,75,50,44,45,36,2,35,4,5,1,47,4,41,22,20
2800,777,6,2,25,11,4,110,73,2,60,9,25,7,5,75,50,44,45,36,2,35,4,3,1,46,4,43,21,20
2900,784,6,2,25,11,4,108,75,2,58,9,25,6,5,75,58,44,47,37,2,34,4,3,1,46,4,44,20,20
3000,785,7,2,25,11,4,109,74,2,58,9,25,6,5,77,58,44,50,33,2,33,4,2,1,46,4,44,20,21
3100,792,6,2,25,11,4,111,81,2,58,9,25,5,5,76,58,44,51,35,2,33,4,1,1,44,4,44,21,21
3200,802,5,2,25,11,4,111,81,2,58,9,25,6,5,81,59,44,51,34,2,36,4,1,1,44,4,44,21,23
3300,806,4,2,29,11,4,111,81,2,57,9,28,6,5,80,60,44,52,31,2,36,4,1,0,46,4,44,21,23
3400,809,4,2,29,11,4,116,80,2,57,9,28,6,5,80,60,44,53,31,2,36,4,1,0,44,4,44,21,23
3500,817,4,2,29,11,4,117,81,2,57,9,28,6,5,79,59,45,55,32,2,38,4,1,0,45,4,44,22,23
3600,824,4,2,29,11,4,117,82,2,57,9,28,6,5,82,60,48,55,32,2,38,4,1,0,44,4,44,22,23
3700,826,5,2,28,11,4,118,82,2,56,9,28,6,5,80,63,48,55,33,2,38,4,0,0,45,4,44,22,23
3800,825,5,2,28,11,4,118,81,2,56,9,27,6,5,81,64,48,55,33,2,38,4,0,0,44,4,44,22,23
3900,834,5,2,28,13,4,122,81,2,56,8,26,6,5,80,65,48,58,34,2,37,4,0,0,45,4,44,23,23
4000,839,4,2,32,13,4,121,81,2,56,7,26,6,5,81,64,48,59,34,2,39,4,0,0,45,4,44,23,24
4100,844,4,2,32,13,5,124,81,2,56,6,26,6,5,78,63,48,61,35,2,38,4,0,0,49,4,44,23,24
4200,842,4,2,33,13,5,124,81,2,56,6,26,6,5,78,63,48,61,34,2,37,4,0,0,48,4,43,24,24
4300,849,4,2,35,13,5,123,84,2,56,5,30,6,5,76,65,48,62,33,2,39,4,0,0,48,4,42,24,23
4400,856,4,2,35,13,5,123,85,2,56,4,29,6,5,78,67,49,62,33,2,39,4,0,0,50,4,43,24,23
4500,864,4,2,34,13,5,124,85,2,56,3,29,6,5,78,70,49,63,33,2,41,4,0,0,50,4,43,25,25
4600,864,4,2,35,13,5,125,86,2,56,2,29,5,5,78,70,49,66,31,2,41,4,0,0,49,4,42,25,25
4700,870,5,2,35,15,5,124,86,2,56,2,27,5,5,78,69,49,65,31,2,43,4,0,0,53,4,42,26,26
4800,883,5,2,43,15,5,124,86,2,56,2,26,6,5,80,69,49,68,29,2,45,4,0,0,53,4,42,26,26
4900,883,5,2,43,15,5,123,86,2,56,2,28,6,5,81,69,49,68,29,2,44,4,0,0,53,4,41,26,26
5000,894,5,3,45,15,5,123,87,2,56,2,27,6,5,81,72,49,69,28,2,44,4,0,0,54,4,45,26,26
5100,907,5,3,44,15,5,125,87,2,56,2,27,6,5,83,71,53,73,28,2,44,4,0,0,53,4,47,28,26
5200,915,5,3,44,15,5,125,89,2,56,2,24,6,5,87,70,53,74,29,2,44,4,0,0,57,4,47,28,26
5300,911,5,3,44,15,5,126,90,2,56,2,20,5,6,87,70,54,74,29,2,43,3,0,0,56,4,47,28,26
5400,912,5,3,44,15,5,127,90,2,56,2,19,5,6,87,69,54,75,30,2,43,3,0,0,56,4,47,28,26
5500,915,5,3,44,15,5,129,91,2,56,2,19,5,6,86,70,54,75,31,2,43,3,0,0,56,3,47,28,26
5600,928,5,3,46,15,5,127,91,2,55,2,19,5,6,88,73,54,79,31,2,45,3,0,0,58,3,47,28,27
5700,933,5,3,46,16,5,130,93,2,55,1,19,5,6,88,73,54,80,31,2,45,3,0,0,57,3,47,28,27
5800,938,5,3,46,16,5,129,93,2,55,1,19,4,6,90,73,55,81,31,2,45,2,0,0,60,3,48,28,27
5900,947,5,3,46,16,5,132,95,2,55,1,18,4,6,90,73,55,80,31,2,50,2,0,0,60,3,49,29,26
6000,944,5,3,45,16,5,132,94,2,55,1,18,4,5,88,73,56,82,31,2,50,1,0,0,60,2,49,29,27
6100,952,5,3,45,16,5,134,97,2,57,1,18,3,5,88,74,56,85,31,2,50,1,0,0,58,2,49,29,27
6200,966,5,3,54,16,5,134,98,2,57,1,18,3,5,88,74,57,87,31,2,50,1,0,0,59,2,49,29,27
