tick,entity_total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf,stat_total,stat_Arctic Fox,stat_Bear,stat_Boar,stat_Camel,stat_Crocodile,stat_Deer,stat_Elk,stat_Faeling,stat_Fish,stat_Fox,stat_Frog,stat_Hawk,stat_Jaguar,stat_Lizard,stat_Monkey,stat_Musk Ox,stat_Parrot,stat_Penguin,stat_Polar Bear,stat_Rabbit,stat_Scorpion,stat_Sectid,stat_Shark,stat_Shroomer,stat_Snake,stat_Tapir,stat_Turtle,stat_Wolf
100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,4,0,1,0,0,0,0,0,0,829,12,4,12,29,7,84,66,0,67,20,45,10,6,52,27,45,13,15,4,47,10,36,7,109,10,41,31,20
200,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,6,0,1,0,0,0,0,0,0,833,12,4,12,28,7,96,72,0,69,20,40,10,6,46,26,46,13,15,4,43,10,36,7,109,10,41,31,20
300,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,6,0,0,0,0,0,0,0,0,859,12,4,12,27,7,110,101,0,70,20,34,10,6,39,25,49,13,15,4,38,10,40,7,108,10,37,31,20
400,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,6,0,0,0,0,0,0,0,0,905,12,4,11,27,7,146,119,0,73,20,26,10,6,33,26,58,17,13,4,33,10,40,7,107,10,36,30,20
500,35,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,13,0,0,6,0,0,0,0,0,0,0,0,924,12,4,10,27,7,153,132,0,80,20,25,10,6,27,26,60,17,13,4,31,10,42,7,107,10,35,29,20
600,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,6,0,0,0,0,0,0,0,0,989,12,4,9,27,7,172,168,4,87,20,23,10,6,22,26,69,21,12,4,27,10,42,7,107,10,34,29,20
700,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,6,0,0,0,0,0,0,0,0,965,12,4,9,27,7,160,173,4,103,20,16,10,6,20,18,76,15,6,4,20,10,46,7,105,10,28,29,20
800,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,6,0,0,0,0,0,0,0,0,951,12,4,5,27,7,158,167,4,121,20,10,10,6,15,17,77,14,3,4,12,10,50,7,106,10,26,29,20
900,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,6,0,0,0,0,0,0,0,0,963,12,4,4,26,7,154,170,4,141,20,7,10,6,14,15,77,13,2,4,11,10,55,7,107,10,24,29,20
1000,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,8,0,0,0,0,0,0,0,0,1027,13,4,4,26,7,162,194,4,172,20,7,10,6,14,13,79,13,1,4,8,10,65,6,107,10,22,28,18
1100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,10,0,0,0,0,0,0,0,0,1077,14,4,4,25,7,174,207,4,202,19,6,10,6,14,13,82,13,1,4,7,10,66,5,107,9,21,27,16
1200,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,10,0,0,0,0,0,0,0,0,1159,11,4,3,26,6,190,238,4,238,17,6,9,5,14,13,88,11,1,4,7,10,76,3,106,8,19,27,15
