tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,1683,18,6,24,62,9,160,134,0,122,26,82,18,10,84,87,84,54,76,7,158,15,90,10,163,15,77,54,38
200,1696,18,6,24,62,9,161,135,0,123,26,82,18,10,82,88,87,56,76,7,160,15,90,10,165,15,79,54,38
300,1719,18,6,24,63,9,163,135,0,124,26,86,18,10,82,92,89,58,78,7,164,15,89,10,167,15,79,54,38
400,1747,18,6,26,63,9,167,143,0,123,26,90,18,10,90,94,92,58,79,7,165,15,85,10,166,15,80,54,38
500,1773,18,6,26,63,9,168,144,6,126,26,93,18,10,90,98,97,60,79,7,167,15,83,10,165,15,82,54,38
600,1793,19,6,26,62,9,169,148,6,130,26,95,18,10,92,99,98,62,81,7,169,15,83,10,162,15,83,54,39
700,1811,19,6,28,63,9,170,150,6,132,26,97,18,10,92,100,98,63,82,7,173,15,82,11,162,15,83,55,39
800,1827,19,6,28,63,9,172,150,6,135,26,99,18,10,92,100,98,64,82,7,177,15,81,11,164,15,86,55,39
900,1834,19,6,28,63,9,173,153,6,136,26,99,18,10,92,101,98,64,82,7,179,15,80,10,163,15,88,55,39
1000,1844,19,6,28,62,9,177,154,6,135,26,99,18,10,92,102,99,64,82,7,179,15,79,10,163,15,92,56,40
1100,1859,19,6,28,62,9,180,156,6,134,26,101,18,10,94,103,99,65,84,7,179,15,79,10,163,16,94,56,40
1200,1867,19,6,28,63,9,182,159,6,134,26,101,18,10,94,105,99,65,84,7,179,15,78,10,163,16,95,56,40
1300,1877,19,6,28,61,9,183,159,6,132,26,101,18,10,96,108,100,66,84,7,181,15,79,10,165,16,97,56,39
1400,1884,19,6,28,62,9,184,161,6,131,26,102,18,10,100,108,101,67,85,7,179,15,79,10,162,16,98,56,39
1500,1889,19,6,30,62,9,186,162,6,130,26,103,18,10,100,108,101,67,85,7,179,15,79,10,161,16,99,56,39
1600,1899,19,6,30,63,9,186,162,6,129,26,105,18,10,100,108,101,68,85,7,181,15,79,10,164,16,99,57,40
1700,1904,19,6,30,63,9,188,162,6,130,26,104,18,10,102,108,101,68,85,7,181,15,79,9,165,16,100,57,40
1800,1915,19,6,32,63,9,190,163,6,128,26,100,18,10,106,109,101,68,86,7,187,15,79,9,165,16,100,57,40
1900,1927,19,6,34,64,9,191,166,6,127,26,101,18,10,108,109,101,69,86,7,187,15,79,9,167,16,100,57,40
2000,1956,19,6,34,63,9,194,166,6,152,26,101,17,10,108,109,101,70,86,7,186,15,78,9,169,16,100,58,41
2100,1963,19,6,36,64,9,195,167,6,149,26,100,17,10,108,110,104,70,86,7,186,15,78,9,170,16,101,58,41
2200,1965,19,6,36,64,9,199,169,6,145,26,99,17,10,108,110,104,70,86,7,187,15,78,9,170,16,101,58,41
2300,1973,19,6,36,64,9,200,170,6,143,26,103,17,10,108,110,105,71,89,7,187,15,78,9,169,16,101,58,41
2400,1981,19,6,36,64,9,199,171,6,143,26,105,17,10,112,110,105,71,89,7,189,15,77,9,169,16,101,59,41
2500,1985,19,6,36,64,9,200,171,6,140,26,105,16,10,114,111,106,72,89,7,191,15,78,9,168,16,101,59,41
2600,1989,19,6,36,64,9,200,172,6,140,26,108,16,10,114,111,106,72,89,7,191,15,78,9,168,16,101,59,41
2700,1999,19,6,36,65,9,201,172,6,142,26,108,16,10,118,111,106,72,90,7,191,15,78,9,168,16,101,59,42
2800,2018,19,6,36,68,9,204,172,6,140,26,107,16,10,120,112,106,72,90,7,203,15,77,9,170,16,101,60,41
2900,2024,19,6,36,68,9,204,172,6,144,26,105,16,10,122,112,106,72,90,7,203,15,77,9,172,16,101,60,41
3000,2028,19,6,36,69,9,204,174,6,144,26,106,16,10,124,112,106,72,91,7,202,15,76,9,171,16,101,60,41
3100,2045,19,6,36,69,9,209,176,6,143,26,106,16,10,126,116,106,72,92,7,204,15,76,9,171,16,102,60,42
3200,2049,19,6,36,70,9,209,176,6,143,26,106,16,10,130,116,106,72,92,7,203,15,76,9,171,16,102,60,42
3300,2050,19,6,36,71,9,212,177,6,142,26,105,15,10,130,116,106,72,92,7,203,15,76,9,171,16,102,60,41
3400,2054,19,6,36,71,9,213,177,6,141,26,104,15,10,132,117,106,72,92,7,203,15,76,9,173,16,102,60,41
3500,2068,19,6,38,73,9,214,177,6,141,26,110,15,10,134,117,106,74,92,7,205,15,74,9,172,16,102,60,41
3600,2079,19,6,40,74,9,215,177,6,141,26,109,15,10,136,117,106,75,92,7,207,15,74,9,173,17,103,60,41
3700,2095,19,6,40,75,9,216,177,6,141,26,120,15,10,136,118,106,76,93,7,207,15,74,9,173,17,103,60,41
3800,2103,19,6,42,75,9,215,178,6,141,26,120,15,10,136,119,107,76,94,7,211,15,74,9,172,17,103,60,41
3900,2110,19,6,42,75,9,221,180,6,141,25,116,15,10,136,119,107,77,94,7,213,15,74,9,173,17,103,60,41
4000,2123,19,6,42,75,9,222,182,6,141,25,115,15,10,138,119,107,77,96,7,218,15,74,9,174,17,104,60,41
4100,2128,19,6,42,75,9,224,182,6,140,25,116,15,10,140,119,107,77,96,7,218,15,73,9,176,17,104,60,41
4200,2131,19,6,42,75,9,223,182,6,140,25,117,15,10,140,119,107,77,97,7,222,15,73,9,174,17,104,60,41
