tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,1678,22,11,28,58,13,152,126,0,97,34,81,18,11,87,81,83,52,68,8,148,20,118,12,173,16,72,49,40
200,1726,22,11,30,58,13,156,127,0,115,34,83,18,11,93,84,85,54,69,8,156,20,118,12,171,16,73,49,40
300,1755,22,11,30,58,13,162,127,0,118,34,84,18,11,101,85,86,59,72,8,156,20,117,12,172,16,74,49,40
400,1794,22,11,34,59,13,163,127,0,121,34,87,19,11,105,87,88,62,76,9,160,20,117,12,175,16,75,51,40
500,1832,22,11,36,61,13,166,128,6,120,34,89,19,11,105,89,92,65,78,9,164,20,116,12,179,18,77,52,40
600,1875,22,11,38,63,13,172,129,6,121,34,91,19,11,115,93,95,70,79,9,168,20,116,12,179,18,79,52,40
700,1960,22,11,42,64,13,184,133,6,139,34,99,19,12,127,98,96,73,84,9,176,20,116,12,180,18,81,52,40
800,2003,22,11,46,66,13,187,136,6,137,34,103,19,12,133,99,97,77,88,9,176,20,116,11,188,18,86,53,40
900,2058,22,11,46,67,13,191,141,6,140,34,111,19,12,143,104,101,81,90,9,180,20,116,11,191,18,88,53,40
1000,2109,22,11,46,69,13,195,146,6,144,34,115,19,12,153,104,106,83,93,9,185,20,116,11,195,18,90,54,40
1100,2183,22,11,46,72,13,200,148,6,168,34,115,19,12,169,100,111,93,94,9,193,20,116,11,197,18,92,54,40
1200,2222,22,11,48,72,13,206,152,6,168,34,117,19,12,173,105,115,93,97,9,194,20,116,11,202,18,95,54,40
1300,2281,22,11,50,72,13,212,154,6,189,34,119,19,12,178,115,115,95,98,9,193,21,116,11,207,18,96,56,40
1400,2317,22,11,54,72,13,220,157,6,183,34,119,19,12,182,115,120,97,102,9,198,21,115,11,214,18,97,56,40
1500,2352,22,11,56,74,13,222,157,6,182,34,125,19,12,192,116,121,100,105,9,196,21,114,11,219,18,101,56,40
1600,2393,22,11,58,76,13,232,160,6,179,34,118,19,12,202,117,122,107,111,9,204,21,114,11,218,18,103,56,40
1700,2451,22,11,58,77,13,239,163,6,207,34,117,19,12,204,122,125,109,112,9,209,21,110,11,220,18,107,56,40
1800,2474,22,11,58,79,13,243,166,6,199,34,118,19,12,206,129,129,110,113,9,212,21,107,10,225,18,107,58,40
1900,2497,22,11,62,80,13,248,171,6,196,34,113,19,12,207,130,131,112,121,9,209,21,105,10,229,18,109,59,40
2000,2513,22,11,66,81,13,252,179,6,190,34,109,19,12,205,129,137,114,125,9,208,21,99,10,235,18,110,59,40
2100,2554,22,11,70,82,13,265,179,6,190,34,108,18,12,208,130,140,126,128,9,212,21,93,10,236,18,113,60,40
2200,2578,22,11,73,84,13,269,180,6,190,34,106,18,12,212,130,145,129,133,9,211,21,90,10,238,18,113,61,40
2300,2594,22,11,72,85,13,272,182,6,188,34,106,17,12,210,133,148,130,135,9,216,21,88,10,239,18,115,62,40
2400,2609,22,11,73,84,13,274,184,6,179,34,106,14,12,222,134,151,134,135,9,218,21,83,10,243,18,115,63,41
2500,2650,22,11,77,83,13,279,187,6,179,34,107,11,12,240,135,153,135,142,9,222,21,75,9,248,18,117,64,41
2600,2681,20,11,76,86,13,287,197,6,176,34,107,11,12,241,133,158,145,144,9,223,21,65,9,258,18,116,64,41
2700,2698,18,11,76,87,13,292,200,6,178,34,108,10,12,240,132,159,149,147,9,228,21,59,9,259,18,117,65,41
