tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,132,2,0,3,0,1,4,15,0,0,0,5,0,0,2,0,4,0,0,0,0,1,29,0,55,1,0,0,1
200,129,2,0,3,0,1,3,13,0,0,0,5,0,0,2,0,4,0,0,0,0,1,29,0,55,1,0,0,1
300,128,2,0,2,0,1,0,13,0,0,0,7,0,0,2,0,4,0,0,0,0,1,30,0,55,1,0,0,1
400,131,2,0,2,0,1,0,13,0,0,0,7,0,0,3,0,4,0,0,0,0,1,30,0,57,1,0,0,1
500,135,2,0,2,0,1,0,12,2,0,0,7,0,0,2,0,4,0,0,0,0,1,30,0,61,1,0,0,1
600,133,2,0,2,0,1,0,12,2,0,0,7,0,0,2,0,4,0,0,0,0,1,29,0,60,1,0,0,1
700,133,2,0,2,0,1,0,12,2,0,0,7,0,0,2,0,4,0,0,0,0,1,27,0,62,1,0,0,1
800,137,2,0,2,0,0,0,14,2,0,0,7,0,0,2,0,4,0,0,0,0,1,28,0,64,1,0,0,1
900,132,2,0,1,0,0,0,14,2,0,0,7,0,0,2,0,4,0,0,0,0,1,25,0,63,1,0,0,1
1000,136,2,0,3,0,0,0,17,2,0,0,7,0,0,2,0,4,0,0,0,0,1,25,0,62,1,0,0,1
1100,131,2,0,1,0,0,0,17,2,0,0,7,0,0,2,0,4,0,0,0,0,1,22,0,62,1,0,0,1
1200,130,2,0,1,0,0,0,17,2,0,0,7,0,0,2,0,4,0,0,0,0,0,22,0,62,1,0,0,1
1300,129,1,0,1,0,0,0,17,2,0,0,7,0,0,2,0,4,0,0,0,0,0,22,0,62,1,0,0,1
1400,132,1,0,1,0,0,0,17,2,0,0,7,0,0,2,0,5,0,0,0,0,0,22,0,64,1,0,0,1
1500,131,1,0,1,0,0,0,17,2,0,0,7,0,0,2,0,5,0,0,0,0,0,19,0,66,1,0,0,1
1600,130,1,0,1,0,0,0,17,2,0,0,7,0,0,2,0,5,0,0,0,0,0,17,0,67,1,0,0,1
1700,130,1,0,1,0,0,0,17,2,0,0,7,0,0,2,0,5,0,0,0,0,0,17,0,67,1,0,0,1
