tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,336,6,2,4,13,4,30,27,0,25,5,17,3,2,17,17,17,12,15,3,27,3,9,2,33,3,19,10,7
200,330,6,2,6,13,4,30,27,0,21,5,21,2,2,13,17,18,12,12,3,27,3,9,2,32,3,19,10,7
300,328,6,2,8,11,4,31,27,0,20,5,23,2,2,14,17,17,12,10,3,27,3,9,2,28,3,20,10,8
400,327,6,2,8,12,4,31,29,0,22,5,23,2,2,14,15,16,12,10,3,27,3,9,2,26,3,19,10,8
500,326,6,2,8,13,4,33,29,1,22,5,21,2,2,13,15,16,14,9,3,27,3,9,2,24,3,18,10,8
600,327,6,2,8,13,4,35,29,1,22,5,20,2,2,13,14,15,16,9,4,26,3,9,1,25,3,18,10,8
700,338,6,2,8,13,4,36,30,1,26,5,20,2,2,13,18,16,17,6,4,25,3,9,1,26,3,20,10,8
800,342,6,2,8,13,4,36,30,1,28,6,20,2,2,15,18,16,17,5,4,27,3,10,1,22,3,21,10,8
900,348,6,2,8,13,4,37,32,1,26,6,23,2,2,18,19,16,18,4,4,26,3,10,1,21,3,21,10,8
1000,351,6,2,8,13,4,36,34,1,30,6,25,2,2,17,20,16,18,3,4,25,3,9,1,20,3,21,10,8
1100,358,8,2,10,13,4,36,35,1,30,6,24,2,2,19,19,16,20,1,4,25,3,9,1,21,3,21,10,9
1200,356,8,2,10,13,4,37,35,1,29,6,24,2,2,19,17,17,21,1,4,23,3,9,1,20,3,21,10,10
1300,365,8,2,10,13,4,37,36,1,33,6,24,2,2,21,20,16,21,1,4,23,3,9,1,20,3,21,10,10
1400,367,8,2,10,13,4,37,35,1,32,6,27,2,2,21,22,16,21,1,4,22,3,7,1,21,3,22,10,10
1500,362,8,2,10,14,4,37,34,1,31,6,26,2,2,21,21,16,21,1,4,21,3,7,1,20,3,22,10,10
1600,374,8,2,10,13,4,37,35,1,37,6,26,2,2,21,22,15,23,2,4,19,3,7,1,24,3,23,10,10
1700,386,8,2,10,13,4,36,35,1,41,6,25,2,2,27,23,14,24,2,5,19,3,7,1,26,3,23,10,10
1800,391,8,2,10,13,4,39,35,1,41,6,25,2,2,27,23,15,25,2,5,19,3,5,1,26,3,23,11,11
1900,405,8,2,10,13,5,38,36,1,41,6,33,2,2,27,26,15,25,1,5,19,3,5,1,28,3,24,11,11
2000,413,8,2,10,13,5,37,36,1,48,6,33,2,2,28,26,14,26,1,5,18,3,5,1,29,3,25,11,11
2100,418,8,2,10,13,5,37,36,1,48,6,33,2,2,28,26,16,27,1,5,18,3,5,1,30,3,26,11,11
2200,418,8,2,10,14,5,37,37,1,47,5,33,2,2,29,26,13,29,2,5,17,3,5,1,30,3,26,11,11
2300,418,8,2,10,14,5,37,37,1,47,5,37,2,2,28,26,13,29,2,5,14,3,5,1,29,3,26,12,11
2400,415,8,2,10,14,5,36,37,1,47,5,34,1,2,28,26,13,31,2,5,14,3,6,1,28,3,26,12,11
2500,424,8,3,10,13,5,44,38,1,47,5,34,1,2,29,26,12,31,2,5,14,3,6,1,28,3,26,12,11
2600,426,7,3,10,13,5,44,39,1,49,5,32,1,2,28,26,14,31,2,5,14,3,6,1,28,3,26,12,12
2700,431,6,3,10,13,5,50,39,1,49,5,31,1,2,28,26,14,33,2,5,12,3,6,1,27,3,27,12,13
2800,431,6,3,10,12,5,50,39,1,48,5,32,1,2,28,26,14,33,2,5,12,3,6,1,26,3,30,12,12
2900,443,6,3,10,13,5,49,46,1,58,5,31,1,2,28,26,13,35,0,5,12,3,5,1,24,3,30,12,12
3000,435,6,3,9,13,5,48,43,1,57,5,31,1,2,29,26,13,35,0,5,11,3,5,1,22,3,30,12,12
3100,436,6,3,9,13,5,47,43,1,57,5,32,1,2,32,26,13,34,0,5,10,3,5,1,22,3,30,12,12
3200,436,6,3,9,13,5,48,44,1,57,5,32,1,2,32,26,12,34,0,6,9,3,4,1,22,3,30,12,12
3300,447,6,3,9,14,5,48,44,1,57,5,31,1,2,32,37,11,34,0,6,12,3,3,1,22,3,30,12,11
3400,462,6,3,22,15,5,47,46,1,57,5,32,1,2,32,37,11,35,0,6,11,3,2,1,22,3,30,12,11
3500,464,6,3,22,16,5,48,47,1,57,5,31,1,2,32,37,12,35,0,6,11,3,2,1,21,3,30,12,11
3600,459,6,3,22,16,5,48,47,1,56,5,29,1,2,31,37,11,35,0,7,10,3,2,1,21,3,30,12,11
3700,454,5,3,22,16,5,47,47,1,56,5,27,1,2,31,37,11,35,0,7,9,3,2,1,21,3,30,12,11
3800,450,5,3,22,16,5,47,47,1,56,5,27,1,2,29,38,10,34,0,7,9,3,2,1,21,3,30,11,11
3900,455,5,4,21,16,5,49,47,1,56,5,27,1,2,29,38,10,38,0,7,9,3,1,1,21,3,30,11,11
4000,463,5,4,20,16,5,48,47,1,56,5,27,1,2,29,38,10,45,0,7,9,3,1,1,23,3,30,12,11
4100,460,5,4,20,16,7,46,44,1,56,4,26,1,2,29,38,11,45,0,8,8,3,1,1,23,3,30,12,12
4200,458,5,4,18,16,7,46,44,1,55,4,26,1,2,29,38,11,45,0,8,7,3,1,1,23,3,32,12,12
4300,457,5,4,16,16,7,47,43,1,55,4,26,1,2,28,38,10,45,0,8,11,3,1,1,22,3,32,12,12
4400,459,5,4,16,16,7,47,43,1,55,4,26,1,2,28,38,11,45,0,8,11,3,1,1,23,3,32,12,12
4500,458,3,4,15,16,6,49,43,1,55,4,26,1,2,28,38,12,45,0,8,10,3,1,1,23,3,32,13,12
4600,455,2,4,15,16,6,48,42,1,55,4,25,1,2,28,40,13,45,0,8,9,3,1,1,22,3,32,13,12
4700,454,2,4,15,16,6,50,42,1,55,4,24,1,2,28,40,13,44,0,8,9,3,1,1,21,3,32,13,12
4800,449,1,4,13,17,6,49,40,1,55,4,24,0,3,27,40,13,43,0,9,9,3,1,1,22,3,32,13,12
4900,450,1,4,11,17,6,47,39,1,55,4,24,0,3,28,41,12,49,0,9,9,2,1,1,22,3,32,13,12
5000,453,0,4,11,18,6,48,39,1,55,4,24,0,3,28,40,13,49,0,9,9,2,1,1,24,3,32,13,12
5100,456,0,4,13,18,6,50,40,1,55,4,24,0,3,28,40,13,48,0,9,9,2,0,1,24,3,32,13,12
5200,457,0,4,12,18,6,50,41,1,55,4,23,0,3,28,41,13,48,0,10,9,2,0,1,24,3,31,14,12
5300,454,0,4,12,18,6,50,41,1,55,3,20,0,3,27,41,14,48,0,10,9,2,0,1,26,3,31,14,11
5400,448,0,4,12,18,6,50,40,1,55,2,17,0,3,25,41,14,48,0,10,9,2,0,1,28,2,31,14,11
5500,457,0,4,15,18,6,50,40,1,55,2,27,0,3,22,41,14,48,0,10,10,2,0,1,27,2,31,14,10
5600,460,0,4,15,18,7,50,39,1,55,2,27,0,3,22,41,14,51,0,10,10,1,0,1,29,2,31,14,9
